(50001, 84, 84, 4)
(50000, 84, 84, 4)
(49500, 84, 84, 4)
(49000, 84, 84, 4)
(48500, 84, 84, 4)
(48000, 84, 84, 4)
(47500, 84, 84, 4)
(47000, 84, 84, 4)
(46500, 84, 84, 4)
(46000, 84, 84, 4)
(45500, 84, 84, 4)
(45000, 84, 84, 4)
(44500, 84, 84, 4)
(44000, 84, 84, 4)
(43500, 84, 84, 4)
(43000, 84, 84, 4)
(42500, 84, 84, 4)
(42000, 84, 84, 4)
(41500, 84, 84, 4)
(41000, 84, 84, 4)
(40500, 84, 84, 4)
(40000, 84, 84, 4)
(39500, 84, 84, 4)
(39000, 84, 84, 4)
(38500, 84, 84, 4)
(38000, 84, 84, 4)
(37500, 84, 84, 4)
(37000, 84, 84, 4)
(36500, 84, 84, 4)
(36000, 84, 84, 4)
(35500, 84, 84, 4)
(35000, 84, 84, 4)
(34500, 84, 84, 4)
(34000, 84, 84, 4)
(33500, 84, 84, 4)
(33000, 84, 84, 4)
(32500, 84, 84, 4)
(32000, 84, 84, 4)
(31500, 84, 84, 4)
(31000, 84, 84, 4)
(30500, 84, 84, 4)
(30000, 84, 84, 4)
(29500, 84, 84, 4)
(29000, 84, 84, 4)
(28500, 84, 84, 4)
(28000, 84, 84, 4)
(27500, 84, 84, 4)
(27000, 84, 84, 4)
(26500, 84, 84, 4)
(26000, 84, 84, 4)
(25500, 84, 84, 4)
(25000, 84, 84, 4)
(24500, 84, 84, 4)
(24000, 84, 84, 4)
(23500, 84, 84, 4)
(23000, 84, 84, 4)
(22500, 84, 84, 4)
(22000, 84, 84, 4)
(21500, 84, 84, 4)
(21000, 84, 84, 4)
(20500, 84, 84, 4)
(20000, 84, 84, 4)
(19500, 84, 84, 4)
(19000, 84, 84, 4)
(18500, 84, 84, 4)
(18000, 84, 84, 4)
(17500, 84, 84, 4)
(17000, 84, 84, 4)
(16500, 84, 84, 4)
(16000, 84, 84, 4)
(15500, 84, 84, 4)
(15000, 84, 84, 4)
(14500, 84, 84, 4)
(14000, 84, 84, 4)
(13500, 84, 84, 4)
(13000, 84, 84, 4)
(12500, 84, 84, 4)
(12000, 84, 84, 4)
(11500, 84, 84, 4)
(11000, 84, 84, 4)
(10500, 84, 84, 4)
(10000, 84, 84, 4)
(9500, 84, 84, 4)
(9000, 84, 84, 4)
(8500, 84, 84, 4)
(8000, 84, 84, 4)
(7500, 84, 84, 4)
(7000, 84, 84, 4)
(6500, 84, 84, 4)
(6000, 84, 84, 4)
(5500, 84, 84, 4)
(5000, 84, 84, 4)
(4500, 84, 84, 4)
(4000, 84, 84, 4)
(3500, 84, 84, 4)
(3000, 84, 84, 4)
(2500, 84, 84, 4)
(2000, 84, 84, 4)
(1500, 84, 84, 4)
(1000, 84, 84, 4)
(500, 84, 84, 4)
